,pokemon,base_experience,height,name,order,weight,abilities,moves,types
205,crabominable,167,17,crabominable,888,1800,"'hyper-cutter', 'iron-fist', 'anger-point'","'ice-punch', 'thunder-punch', 'slam', 'body-slam', 'take-down', 'leer', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'earthquake', 'dig', 'toxic', 'double-team', 'swift', 'amnesia', 'bubble', 'dizzy-punch', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'reversal', 'protect', 'scary-face', 'mud-slap', 'icy-wind', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'pursuit', 'hidden-power', 'rain-dance', 'sunny-day', 'rock-smash', 'hail', 'facade', 'focus-punch', 'helping-hand', 'superpower', 'brick-break', 'endeavor', 'rock-tomb', 'iron-defense', 'block', 'bulk-up', 'mud-shot', 'close-combat', 'payback', 'fling', 'drain-punch', 'focus-blast', 'giga-impact', 'avalanche', 'zen-headbutt', 'gunk-shot', 'iron-head', 'stone-edge', 'round', 'scald', 'bulldoze', 'frost-breath', 'work-up', 'dual-chop', 'confide', 'power-up-punch', 'ice-hammer', 'brutal-swing', 'stomping-tantrum', 'liquidation', 'body-press', 'tera-blast', 'ice-spinner', 'snowscape', 'chilling-water'","'fighting', 'ice'"
206,crabrawler,68,6,crabrawler,887,70,"'hyper-cutter', 'iron-fist', 'anger-point'","'ice-punch', 'thunder-punch', 'slam', 'body-slam', 'take-down', 'leer', 'bubble-beam', 'earthquake', 'dig', 'toxic', 'double-team', 'swift', 'amnesia', 'bubble', 'dizzy-punch', 'crabhammer', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'reversal', 'protect', 'mud-slap', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'pursuit', 'hidden-power', 'rain-dance', 'sunny-day', 'rock-smash', 'facade', 'focus-punch', 'helping-hand', 'superpower', 'brick-break', 'endeavor', 'rock-tomb', 'iron-defense', 'bulk-up', 'mud-shot', 'close-combat', 'payback', 'fling', 'drain-punch', 'focus-blast', 'zen-headbutt', 'gunk-shot', 'iron-head', 'stone-edge', 'wide-guard', 'round', 'scald', 'bulldoze', 'frost-breath', 'work-up', 'dual-chop', 'confide', 'power-up-punch', 'brutal-swing', 'stomping-tantrum', 'liquidation', 'tera-blast', 'chilling-water'",'fighting'
207,cradily,173,15,cradily,459,604,"'suction-cups', 'storm-drain'","'swords-dance', 'bind', 'headbutt', 'body-slam', 'wrap', 'double-edge', 'acid', 'hyper-beam', 'strength', 'mega-drain', 'leech-seed', 'solar-beam', 'string-shot', 'earthquake', 'dig', 'toxic', 'mimic', 'double-team', 'confuse-ray', 'constrict', 'amnesia', 'flash', 'rest', 'rock-slide', 'substitute', 'snore', 'protect', 'sludge-bomb', 'mud-slap', 'sandstorm', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'pain-split', 'synthesis', 'hidden-power', 'sunny-day', 'psych-up', 'ancient-power', 'rock-smash', 'stockpile', 'spit-up', 'swallow', 'facade', 'ingrain', 'secret-power', 'astonish', 'rock-tomb', 'bullet-seed', 'block', 'mud-shot', 'rock-blast', 'brine', 'natural-gift', 'wring-out', 'gastro-acid', 'worry-seed', 'rock-polish', 'seed-bomb', 'energy-ball', 'earth-power', 'giga-impact', 'power-whip', 'stone-edge', 'captivate', 'stealth-rock', 'grass-knot', 'smack-down', 'sludge-wave', 'round', 'bulldoze', 'grassy-terrain', 'confide', 'infestation', 'meteor-beam'","'rock', 'grass'"
208,cramorant,166,8,cramorant,1026,180,'gulp-missile',"'fly', 'fury-attack', 'thrash', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'hyper-beam', 'peck', 'drill-peck', 'agility', 'amnesia', 'rest', 'substitute', 'thief', 'snore', 'reversal', 'protect', 'icy-wind', 'endure', 'steel-wing', 'attract', 'sleep-talk', 'rain-dance', 'whirlpool', 'uproar', 'stockpile', 'spit-up', 'swallow', 'facade', 'superpower', 'dive', 'feather-dance', 'weather-ball', 'aerial-ace', 'roost', 'pluck', 'assurance', 'aqua-ring', 'air-slash', 'brave-bird', 'giga-impact', 'defog', 'round', 'scald', 'hurricane', 'belch', 'throat-chop', 'liquidation', 'dual-wingbeat'","'flying', 'water'"
209,cramorant-gorging,166,8,cramorant-gorging,1028,180,'gulp-missile',"'fly', 'fury-attack', 'thrash', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'hyper-beam', 'peck', 'drill-peck', 'agility', 'amnesia', 'rest', 'substitute', 'thief', 'snore', 'reversal', 'protect', 'icy-wind', 'endure', 'steel-wing', 'attract', 'sleep-talk', 'rain-dance', 'whirlpool', 'uproar', 'stockpile', 'spit-up', 'swallow', 'facade', 'superpower', 'dive', 'feather-dance', 'weather-ball', 'aerial-ace', 'roost', 'pluck', 'assurance', 'aqua-ring', 'air-slash', 'brave-bird', 'giga-impact', 'defog', 'round', 'scald', 'hurricane', 'belch', 'throat-chop', 'liquidation', 'dual-wingbeat'","'flying', 'water'"
210,cramorant-gulping,166,8,cramorant-gulping,1027,180,'gulp-missile',"'fly', 'fury-attack', 'thrash', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'hyper-beam', 'peck', 'drill-peck', 'agility', 'amnesia', 'rest', 'substitute', 'thief', 'snore', 'reversal', 'protect', 'icy-wind', 'endure', 'steel-wing', 'attract', 'sleep-talk', 'rain-dance', 'whirlpool', 'uproar', 'stockpile', 'spit-up', 'swallow', 'facade', 'superpower', 'dive', 'feather-dance', 'weather-ball', 'aerial-ace', 'roost', 'pluck', 'assurance', 'aqua-ring', 'air-slash', 'brave-bird', 'giga-impact', 'defog', 'round', 'scald', 'hurricane', 'belch', 'throat-chop', 'liquidation', 'dual-wingbeat'","'flying', 'water'"
211,cranidos,70,9,cranidos,537,315,"'mold-breaker', 'sheer-force'","'fire-punch', 'thunder-punch', 'swords-dance', 'whirlwind', 'slam', 'stomp', 'headbutt', 'take-down', 'thrash', 'double-edge', 'leer', 'roar', 'flamethrower', 'ice-beam', 'blizzard', 'strength', 'thunderbolt', 'thunder', 'earthquake', 'dig', 'toxic', 'screech', 'double-team', 'focus-energy', 'fire-blast', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'curse', 'spite', 'protect', 'scary-face', 'mud-slap', 'sandstorm', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'ancient-power', 'rock-smash', 'uproar', 'facade', 'superpower', 'endeavor', 'secret-power', 'rock-tomb', 'shock-wave', 'hammer-arm', 'natural-gift', 'payback', 'assurance', 'fling', 'rock-polish', 'dragon-pulse', 'earth-power', 'zen-headbutt', 'rock-climb', 'iron-head', 'stone-edge', 'captivate', 'stealth-rock', 'head-smash', 'smack-down', 'round', 'chip-away', 'incinerate', 'bulldoze', 'confide', 'power-up-punch'",'rock'
212,crawdaunt,164,11,crawdaunt,455,328,"'hyper-cutter', 'shell-armor', 'adaptability'","'vice-grip', 'guillotine', 'swords-dance', 'cut', 'body-slam', 'double-edge', 'leer', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'counter', 'strength', 'dig', 'toxic', 'mimic', 'double-team', 'harden', 'waterfall', 'swift', 'bubble', 'crabhammer', 'rest', 'rock-slide', 'substitute', 'snore', 'spite', 'protect', 'sludge-bomb', 'mud-slap', 'icy-wind', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'hidden-power', 'rain-dance', 'crunch', 'ancient-power', 'rock-smash', 'whirlpool', 'hail', 'facade', 'nature-power', 'taunt', 'superpower', 'revenge', 'brick-break', 'knock-off', 'endeavor', 'secret-power', 'dive', 'rock-tomb', 'muddy-water', 'aerial-ace', 'iron-defense', 'mud-shot', 'dragon-dance', 'water-pulse', 'natural-gift', 'close-combat', 'payback', 'fling', 'dark-pulse', 'night-slash', 'x-scissor', 'giga-impact', 'nasty-plot', 'avalanche', 'captivate', 'double-hit', 'hone-claws', 'sludge-wave', 'round', 'scald', 'retaliate', 'razor-shell', 'snarl', 'confide', 'liquidation', 'lash-out'","'water', 'dark'"
213,cresselia,300,15,cresselia,602,856,'levitate',"'body-slam', 'mist', 'ice-beam', 'psybeam', 'aurora-beam', 'hyper-beam', 'solar-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'confusion', 'psychic', 'double-team', 'confuse-ray', 'light-screen', 'reflect', 'swift', 'dream-eater', 'flash', 'rest', 'slash', 'substitute', 'snore', 'protect', 'scary-face', 'mud-slap', 'icy-wind', 'endure', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'moonlight', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'future-sight', 'facade', 'helping-hand', 'trick', 'magic-coat', 'recycle', 'skill-swap', 'secret-power', 'signal-beam', 'calm-mind', 'gravity', 'natural-gift', 'psycho-shift', 'power-swap', 'guard-swap', 'power-gem', 'energy-ball', 'giga-impact', 'psycho-cut', 'zen-headbutt', 'trick-room', 'captivate', 'grass-knot', 'charge-beam', 'lunar-dance', 'psyshock', 'telekinesis', 'magic-room', 'round', 'stored-power', 'ally-switch', 'moonblast', 'confide', 'dazzling-gleam', 'psychic-terrain', 'expanding-force', 'lunar-blessing', 'tera-blast'",'psychic'
214,croagunk,60,7,croagunk,579,230,"'anticipation', 'dry-skin', 'poison-touch'","'mega-punch', 'ice-punch', 'thunder-punch', 'mega-kick', 'headbutt', 'take-down', 'poison-sting', 'low-kick', 'counter', 'strength', 'earthquake', 'dig', 'toxic', 'meditate', 'screech', 'double-team', 'rest', 'rock-slide', 'super-fang', 'substitute', 'thief', 'snore', 'reversal', 'spite', 'protect', 'scary-face', 'feint-attack', 'sludge-bomb', 'mud-slap', 'icy-wind', 'endure', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'baton-pass', 'encore', 'pursuit', 'hidden-power', 'cross-chop', 'rain-dance', 'sunny-day', 'shadow-ball', 'rock-smash', 'fake-out', 'torment', 'flatter', 'facade', 'focus-punch', 'smelling-salts', 'taunt', 'helping-hand', 'role-play', 'revenge', 'brick-break', 'knock-off', 'snatch', 'secret-power', 'astonish', 'rock-tomb', 'aerial-ace', 'bulk-up', 'bounce', 'mud-shot', 'wake-up-slap', 'natural-gift', 'feint', 'acupressure', 'payback', 'assurance', 'embargo', 'fling', 'me-first', 'sucker-punch', 'poison-jab', 'dark-pulse', 'x-scissor', 'drain-punch', 'vacuum-wave', 'focus-blast', 'nasty-plot', 'bullet-punch', 'shadow-claw', 'mud-bomb', 'rock-climb', 'gunk-shot', 'captivate', 'venoshock', 'sludge-wave', 'low-sweep', 'acid-spray', 'foul-play', 'round', 'quick-guard', 'retaliate', 'bulldoze', 'work-up', 'dual-chop', 'belch', 'confide', 'venom-drench', 'power-up-punch', 'lash-out', 'coaching', 'tera-blast', 'chilling-water'","'poison', 'fighting'"
215,crobat,268,18,crobat,75,750,"'inner-focus', 'infiltrator'","'wing-attack', 'fly', 'double-edge', 'bite', 'supersonic', 'hyper-beam', 'absorb', 'toxic', 'agility', 'mimic', 'screech', 'double-team', 'confuse-ray', 'haze', 'swift', 'leech-life', 'sky-attack', 'rest', 'super-fang', 'substitute', 'thief', 'snore', 'curse', 'protect', 'sludge-bomb', 'detect', 'giga-drain', 'endure', 'swagger', 'steel-wing', 'mean-look', 'attract', 'sleep-talk', 'return', 'frustration', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'crunch', 'shadow-ball', 'uproar', 'heat-wave', 'torment', 'facade', 'taunt', 'snatch', 'secret-power', 'poison-fang', 'astonish', 'air-cutter', 'aerial-ace', 'roost', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'payback', 'assurance', 'dark-pulse', 'air-slash', 'x-scissor', 'brave-bird', 'giga-impact', 'nasty-plot', 'zen-headbutt', 'defog', 'cross-poison', 'captivate', 'ominous-wind', 'venoshock', 'round', 'quick-guard', 'hex', 'acrobatics', 'hurricane', 'confide', 'venom-drench', 'dual-wingbeat'","'poison', 'flying'"
217,croconaw,142,11,croconaw,256,250,"'torrent', 'sheer-force'","'mega-punch', 'ice-punch', 'scratch', 'swords-dance', 'cut', 'mega-kick', 'headbutt', 'body-slam', 'thrash', 'double-edge', 'leer', 'bite', 'roar', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'low-kick', 'counter', 'seismic-toss', 'strength', 'dig', 'toxic', 'rage', 'mimic', 'screech', 'double-team', 'waterfall', 'rest', 'rock-slide', 'slash', 'substitute', 'snore', 'curse', 'flail', 'spite', 'protect', 'scary-face', 'mud-slap', 'icy-wind', 'detect', 'endure', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'iron-tail', 'hidden-power', 'rain-dance', 'crunch', 'ancient-power', 'rock-smash', 'whirlpool', 'uproar', 'hail', 'facade', 'focus-punch', 'superpower', 'brick-break', 'secret-power', 'dive', 'rock-tomb', 'aerial-ace', 'block', 'dragon-claw', 'water-pulse', 'natural-gift', 'fling', 'aqua-tail', 'shadow-claw', 'ice-fang', 'captivate', 'hone-claws', 'round', 'chip-away', 'scald', 'water-pledge', 'work-up', 'confide', 'power-up-punch'",'water'
218,crustle,170,14,crustle,679,2000,"'sturdy', 'shell-armor', 'weak-armor'","'swords-dance', 'cut', 'sand-attack', 'hyper-beam', 'strength', 'solar-beam', 'earthquake', 'dig', 'toxic', 'double-team', 'withdraw', 'rest', 'rock-slide', 'slash', 'substitute', 'snore', 'flail', 'protect', 'feint-attack', 'spikes', 'sandstorm', 'endure', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'hidden-power', 'rock-smash', 'facade', 'nature-power', 'knock-off', 'secret-power', 'rock-tomb', 'sand-tomb', 'aerial-ace', 'iron-defense', 'block', 'rock-blast', 'rock-polish', 'poison-jab', 'x-scissor', 'giga-impact', 'shadow-claw', 'rock-wrecker', 'stone-edge', 'stealth-rock', 'bug-bite', 'hone-claws', 'smack-down', 'heavy-slam', 'round', 'shell-smash', 'struggle-bug', 'bulldoze', 'confide', 'solar-blade', 'stomping-tantrum', 'body-press', 'meteor-beam', 'skitter-smack'","'bug', 'rock'"
219,cryogonal,180,11,cryogonal,737,1480,'levitate',"'bind', 'body-slam', 'take-down', 'mist', 'ice-beam', 'blizzard', 'aurora-beam', 'hyper-beam', 'solar-beam', 'toxic', 'double-team', 'recover', 'confuse-ray', 'light-screen', 'haze', 'reflect', 'self-destruct', 'acid-armor', 'explosion', 'rest', 'sharpen', 'slash', 'substitute', 'snore', 'protect', 'scary-face', 'icy-wind', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'rapid-spin', 'hidden-power', 'rain-dance', 'ancient-power', 'hail', 'facade', 'magic-coat', 'knock-off', 'secret-power', 'signal-beam', 'sheer-cold', 'icicle-spear', 'iron-defense', 'water-pulse', 'poison-jab', 'night-slash', 'giga-impact', 'avalanche', 'ice-shard', 'flash-cannon', 'defog', 'round', 'acrobatics', 'frost-breath', 'freeze-dry', 'confide', 'laser-focus', 'aurora-veil', 'triple-axel', 'tera-blast', 'ice-spinner', 'snowscape', 'chilling-water'",'ice'
220,cubchoo,61,5,cubchoo,735,85,"'snow-cloak', 'slush-rush', 'rattled'","'mega-punch', 'ice-punch', 'cut', 'mega-kick', 'body-slam', 'take-down', 'thrash', 'growl', 'surf', 'ice-beam', 'blizzard', 'low-kick', 'strength', 'dig', 'toxic', 'double-team', 'bide', 'fury-swipes', 'rest', 'rock-slide', 'slash', 'substitute', 'thief', 'snore', 'flail', 'powder-snow', 'protect', 'mud-slap', 'icy-wind', 'endure', 'charm', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'encore', 'metal-claw', 'hidden-power', 'rain-dance', 'crunch', 'rock-smash', 'hail', 'facade', 'focus-punch', 'taunt', 'superpower', 'yawn', 'secret-power', 'rock-tomb', 'sheer-cold', 'aerial-ace', 'mud-shot', 'covet', 'water-pulse', 'brine', 'assurance', 'fling', 'night-slash', 'x-scissor', 'avalanche', 'shadow-claw', 'ice-fang', 'grass-knot', 'hone-claws', 'heavy-slam', 'round', 'echoed-voice', 'bulldoze', 'frost-breath', 'snarl', 'play-rough', 'play-nice', 'confide', 'power-up-punch', 'liquidation', 'body-press', 'tera-blast', 'snowscape', 'trailblaze', 'chilling-water'",'ice'
221,cubone,64,4,cubone,163,65,"'rock-head', 'lightning-rod', 'battle-armor'","'mega-punch', 'fire-punch', 'thunder-punch', 'swords-dance', 'double-kick', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'thrash', 'double-edge', 'tail-whip', 'leer', 'growl', 'flamethrower', 'water-gun', 'ice-beam', 'blizzard', 'bubble-beam', 'submission', 'low-kick', 'counter', 'seismic-toss', 'strength', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'screech', 'double-team', 'focus-energy', 'bide', 'bone-club', 'fire-blast', 'swift', 'skull-bash', 'bonemerang', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'curse', 'protect', 'belly-drum', 'mud-slap', 'perish-song', 'icy-wind', 'detect', 'bone-rush', 'sandstorm', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'iron-tail', 'hidden-power', 'sunny-day', 'ancient-power', 'rock-smash', 'uproar', 'facade', 'focus-punch', 'brick-break', 'knock-off', 'endeavor', 'secret-power', 'rock-tomb', 'aerial-ace', 'iron-defense', 'natural-gift', 'fling', 'earth-power', 'rock-climb', 'iron-head', 'captivate', 'stealth-rock', 'smack-down', 'round', 'echoed-voice', 'chip-away', 'incinerate', 'retaliate', 'bulldoze', 'confide', 'power-up-punch', 'brutal-swing', 'stomping-tantrum', 'scorching-sands'",'ground'
222,cufant,66,12,cufant,1065,1000,"'sheer-force', 'heavy-metal'","'whirlwind', 'slam', 'stomp', 'mega-kick', 'tackle', 'body-slam', 'take-down', 'double-edge', 'growl', 'strength', 'earthquake', 'fissure', 'dig', 'screech', 'defense-curl', 'rest', 'rock-slide', 'substitute', 'snore', 'curse', 'protect', 'sandstorm', 'endure', 'rollout', 'swagger', 'attract', 'sleep-talk', 'rock-smash', 'facade', 'superpower', 'brick-break', 'rock-tomb', 'iron-defense', 'mud-shot', 'rock-blast', 'fling', 'earth-power', 'zen-headbutt', 'flash-cannon', 'power-whip', 'iron-head', 'stone-edge', 'stealth-rock', 'heavy-slam', 'round', 'bulldoze', 'work-up', 'belch', 'play-rough', 'high-horsepower', 'brutal-swing', 'stomping-tantrum', 'body-press', 'steel-beam', 'steel-roller', 'tera-blast'",'steel'
223,cursola,179,10,cursola,1048,4,"'weak-armor', 'perish-body'","'tackle', 'body-slam', 'pin-missile', 'disable', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'hyper-beam', 'earthquake', 'dig', 'psychic', 'night-shade', 'screech', 'harden', 'light-screen', 'reflect', 'self-destruct', 'amnesia', 'leech-life', 'rest', 'rock-slide', 'substitute', 'snore', 'curse', 'spite', 'protect', 'perish-song', 'icy-wind', 'sandstorm', 'giga-drain', 'endure', 'attract', 'sleep-talk', 'safeguard', 'rain-dance', 'sunny-day', 'mirror-coat', 'ancient-power', 'shadow-ball', 'whirlpool', 'hail', 'will-o-wisp', 'facade', 'revenge', 'grudge', 'astonish', 'rock-tomb', 'icicle-spear', 'iron-defense', 'calm-mind', 'rock-blast', 'brine', 'power-gem', 'earth-power', 'giga-impact', 'stone-edge', 'stealth-rock', 'round', 'scald', 'hex', 'bulldoze', 'strength-sap', 'throat-chop', 'stomping-tantrum', 'liquidation', 'meteor-beam', 'burning-jealousy', 'poltergeist'",'ghost'
224,cutiefly,61,1,cutiefly,893,2,"'honey-gather', 'shield-dust', 'sweet-veil'","'absorb', 'stun-spore', 'toxic', 'psychic', 'double-team', 'light-screen', 'reflect', 'swift', 'dream-eater', 'leech-life', 'rest', 'substitute', 'thief', 'snore', 'protect', 'endure', 'charm', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'baton-pass', 'sweet-scent', 'hidden-power', 'sunny-day', 'psych-up', 'facade', 'helping-hand', 'trick', 'skill-swap', 'imprison', 'aromatherapy', 'fake-tears', 'silver-wind', 'signal-beam', 'aerial-ace', 'covet', 'calm-mind', 'roost', 'tailwind', 'u-turn', 'last-resort', 'bug-buzz', 'energy-ball', 'switcheroo', 'defog', 'bug-bite', 'wonder-room', 'telekinesis', 'magic-room', 'quiver-dance', 'after-you', 'round', 'ally-switch', 'acrobatics', 'bestow', 'struggle-bug', 'sticky-web', 'draining-kiss', 'play-rough', 'fairy-wind', 'moonblast', 'confide', 'aromatic-mist', 'powder', 'dazzling-gleam', 'infestation', 'speed-swap', 'dual-wingbeat'","'bug', 'fairy'"
226,cyndaquil,62,5,cyndaquil,252,79,"'blaze', 'flash-fire'","'cut', 'double-kick', 'headbutt', 'tackle', 'body-slam', 'take-down', 'thrash', 'double-edge', 'leer', 'ember', 'flamethrower', 'submission', 'fire-spin', 'dig', 'toxic', 'quick-attack', 'mimic', 'double-team', 'smokescreen', 'defense-curl', 'fire-blast', 'swift', 'fury-swipes', 'rest', 'substitute', 'flame-wheel', 'snore', 'curse', 'reversal', 'protect', 'mud-slap', 'foresight', 'detect', 'endure', 'rollout', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'iron-tail', 'hidden-power', 'sunny-day', 'heat-wave', 'will-o-wisp', 'facade', 'nature-power', 'eruption', 'secret-power', 'crush-claw', 'overheat', 'extrasensory', 'aerial-ace', 'howl', 'covet', 'natural-gift', 'flare-blitz', 'fire-fang', 'zen-headbutt', 'lava-plume', 'iron-head', 'captivate', 'flame-burst', 'flame-charge', 'round', 'incinerate', 'inferno', 'fire-pledge', 'work-up', 'wild-charge', 'play-rough', 'confide', 'burn-up', 'tera-blast'",'fire'
228,darkrai,270,15,darkrai,605,505,'bad-dreams',"'swords-dance', 'cut', 'headbutt', 'disable', 'ice-beam', 'blizzard', 'hyper-beam', 'strength', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'psychic', 'hypnosis', 'quick-attack', 'night-shade', 'double-team', 'haze', 'swift', 'dream-eater', 'flash', 'rest', 'rock-slide', 'substitute', 'thief', 'nightmare', 'snore', 'spite', 'protect', 'feint-attack', 'sludge-bomb', 'mud-slap', 'icy-wind', 'endure', 'swagger', 'sleep-talk', 'return', 'frustration', 'pursuit', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'rock-smash', 'torment', 'will-o-wisp', 'facade', 'focus-punch', 'taunt', 'trick', 'brick-break', 'knock-off', 'snatch', 'secret-power', 'rock-tomb', 'aerial-ace', 'calm-mind', 'shock-wave', 'natural-gift', 'payback', 'embargo', 'fling', 'last-resort', 'sucker-punch', 'poison-jab', 'dark-pulse', 'x-scissor', 'drain-punch', 'focus-blast', 'giga-impact', 'nasty-plot', 'shadow-claw', 'rock-climb', 'charge-beam', 'dark-void', 'ominous-wind', 'wonder-room', 'foul-play', 'round', 'incinerate', 'retaliate', 'snarl', 'confide', 'power-up-punch', 'throat-chop'",'dark'
229,darmanitan-galar-standard,168,17,darmanitan-galar-standard,675,1200,"'gorilla-tactics', 'zen-mode'","'mega-punch', 'fire-punch', 'ice-punch', 'mega-kick', 'headbutt', 'tackle', 'body-slam', 'thrash', 'bite', 'flamethrower', 'ice-beam', 'blizzard', 'hyper-beam', 'solar-beam', 'fire-spin', 'earthquake', 'dig', 'psychic', 'focus-energy', 'fire-blast', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'reversal', 'powder-snow', 'protect', 'belly-drum', 'endure', 'attract', 'sleep-talk', 'encore', 'sunny-day', 'uproar', 'heat-wave', 'will-o-wisp', 'facade', 'taunt', 'superpower', 'brick-break', 'overheat', 'rock-tomb', 'iron-defense', 'bulk-up', 'gyro-ball', 'u-turn', 'payback', 'fling', 'flare-blitz', 'focus-blast', 'giga-impact', 'avalanche', 'ice-fang', 'fire-fang', 'zen-headbutt', 'iron-head', 'stone-edge', 'grass-knot', 'round', 'bulldoze', 'work-up', 'icicle-crash', 'body-press', 'burning-jealousy', 'lash-out'",'ice'
230,darmanitan-galar-zen,189,17,darmanitan-galar-zen,676,1200,"'gorilla-tactics', 'zen-mode'","'mega-punch', 'fire-punch', 'ice-punch', 'mega-kick', 'headbutt', 'tackle', 'body-slam', 'thrash', 'bite', 'flamethrower', 'ice-beam', 'blizzard', 'hyper-beam', 'solar-beam', 'fire-spin', 'earthquake', 'dig', 'psychic', 'focus-energy', 'fire-blast', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'reversal', 'powder-snow', 'protect', 'belly-drum', 'endure', 'attract', 'sleep-talk', 'encore', 'sunny-day', 'uproar', 'heat-wave', 'will-o-wisp', 'facade', 'taunt', 'superpower', 'brick-break', 'overheat', 'rock-tomb', 'iron-defense', 'bulk-up', 'gyro-ball', 'u-turn', 'payback', 'fling', 'flare-blitz', 'focus-blast', 'giga-impact', 'avalanche', 'ice-fang', 'fire-fang', 'zen-headbutt', 'iron-head', 'stone-edge', 'grass-knot', 'round', 'bulldoze', 'work-up', 'icicle-crash', 'body-press', 'burning-jealousy', 'lash-out'","'ice', 'fire'"
231,darmanitan-standard,168,13,darmanitan-standard,673,929,"'sheer-force', 'zen-mode'","'mega-punch', 'fire-punch', 'mega-kick', 'headbutt', 'tackle', 'body-slam', 'thrash', 'bite', 'roar', 'ember', 'flamethrower', 'hyper-beam', 'strength', 'solar-beam', 'fire-spin', 'earthquake', 'dig', 'toxic', 'psychic', 'rage', 'double-team', 'focus-energy', 'fire-blast', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'reversal', 'protect', 'belly-drum', 'endure', 'rollout', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'encore', 'hidden-power', 'sunny-day', 'future-sight', 'rock-smash', 'uproar', 'heat-wave', 'torment', 'will-o-wisp', 'facade', 'focus-punch', 'taunt', 'trick', 'superpower', 'brick-break', 'endeavor', 'snatch', 'secret-power', 'overheat', 'rock-tomb', 'iron-defense', 'bulk-up', 'hammer-arm', 'gyro-ball', 'u-turn', 'payback', 'fling', 'power-swap', 'guard-swap', 'flare-blitz', 'focus-blast', 'giga-impact', 'fire-fang', 'zen-headbutt', 'iron-head', 'stone-edge', 'grass-knot', 'smack-down', 'flame-charge', 'round', 'incinerate', 'bulldoze', 'work-up', 'confide', 'mystical-fire', 'power-up-punch', 'laser-focus', 'body-press', 'expanding-force', 'burning-jealousy', 'lash-out'",'fire'
