,pokemon,base_experience,height,name,order,weight,abilities,moves,types,color
65,coalossal,255,28,coalossal,1020,3105,"['steam-engine', 'flame-body', 'flash-fire']","['mega-punch', 'fire-punch', 'mega-kick', 'tackle', 'body-slam', 'take-down', 'flamethrower', 'hyper-beam', 'solar-beam', 'fire-spin', 'earthquake', 'dig', 'smokescreen', 'reflect', 'self-destruct', 'fire-blast', 'rest', 'rock-slide', 'substitute', 'snore', 'protect', 'spikes', 'sandstorm', 'endure', 'attract', 'sleep-talk', 'rapid-spin', 'sunny-day', 'ancient-power', 'heat-wave', 'will-o-wisp', 'facade', 'overheat', 'rock-tomb', 'sand-tomb', 'iron-defense', 'rock-blast', 'gyro-ball', 'flare-blitz', 'rock-polish', 'power-gem', 'earth-power', 'giga-impact', 'iron-head', 'stone-edge', 'stealth-rock', 'smack-down', 'heavy-slam', 'flame-charge', 'round', 'scald', 'incinerate', 'bulldoze', 'heat-crash', 'high-horsepower', 'burn-up', 'tar-shot', 'body-press', 'meteor-beam', 'scorching-sands', 'tera-blast']","['rock', 'fire']",black
66,combee,49,3,combee,546,55,"['honey-gather', 'hustle']","['gust', 'string-shot', 'swift', 'snore', 'mud-slap', 'sleep-talk', 'sweet-scent', 'endeavor', 'air-cutter', 'tailwind', 'bug-buzz', 'bug-bite', 'ominous-wind', 'struggle-bug', 'dual-wingbeat', 'tera-blast']","['bug', 'flying']",yellow
67,comfey,170,1,comfey,923,3,"['flower-veil', 'triage', 'natural-cure']","['bind', 'vine-whip', 'wrap', 'hyper-beam', 'leech-seed', 'growth', 'solar-beam', 'petal-dance', 'toxic', 'double-team', 'light-screen', 'amnesia', 'rest', 'substitute', 'thief', 'snore', 'protect', 'sweet-kiss', 'giga-drain', 'endure', 'charm', 'swagger', 'attract', 'sleep-talk', 'heal-bell', 'return', 'frustration', 'safeguard', 'pain-split', 'encore', 'sweet-scent', 'synthesis', 'hidden-power', 'sunny-day', 'psych-up', 'facade', 'nature-power', 'taunt', 'helping-hand', 'trick', 'role-play', 'magic-coat', 'aromatherapy', 'bullet-seed', 'covet', 'magical-leaf', 'calm-mind', 'natural-gift', 'tailwind', 'u-turn', 'fling', 'lucky-chant', 'worry-seed', 'seed-bomb', 'energy-ball', 'defog', 'trick-room', 'grass-knot', 'telekinesis', 'after-you', 'round', 'echoed-voice', 'stored-power', 'ally-switch', 'acrobatics', 'leaf-tornado', 'petal-blizzard', 'draining-kiss', 'flower-shield', 'grassy-terrain', 'play-rough', 'confide', 'dazzling-gleam', 'floral-healing', 'pollen-puff', 'grassy-glide']",['fairy'],green
68,corphish,62,6,corphish,454,115,"['hyper-cutter', 'shell-armor', 'adaptability']","['vice-grip', 'guillotine', 'swords-dance', 'cut', 'body-slam', 'double-edge', 'leer', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'counter', 'strength', 'dig', 'toxic', 'mimic', 'double-team', 'harden', 'waterfall', 'bubble', 'crabhammer', 'rest', 'rock-slide', 'slash', 'substitute', 'snore', 'spite', 'protect', 'sludge-bomb', 'mud-slap', 'icy-wind', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'metal-claw', 'hidden-power', 'rain-dance', 'crunch', 'ancient-power', 'rock-smash', 'whirlpool', 'hail', 'facade', 'taunt', 'superpower', 'brick-break', 'knock-off', 'endeavor', 'secret-power', 'mud-sport', 'rock-tomb', 'muddy-water', 'aerial-ace', 'iron-defense', 'mud-shot', 'dragon-dance', 'water-pulse', 'natural-gift', 'payback', 'fling', 'trump-card', 'night-slash', 'x-scissor', 'switcheroo', 'captivate', 'aqua-jet', 'double-hit', 'hone-claws', 'round', 'chip-away', 'scald', 'razor-shell', 'confide']",['water'],red
69,corsola,144,6,corsola,321,50,"['hustle', 'natural-cure', 'regenerator']","['headbutt', 'tackle', 'body-slam', 'double-edge', 'mist', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'strength', 'earthquake', 'dig', 'toxic', 'psychic', 'mimic', 'screech', 'double-team', 'recover', 'harden', 'confuse-ray', 'defense-curl', 'barrier', 'light-screen', 'reflect', 'bide', 'self-destruct', 'spike-cannon', 'amnesia', 'bubble', 'explosion', 'rest', 'rock-slide', 'substitute', 'snore', 'curse', 'flail', 'protect', 'mud-slap', 'icy-wind', 'sandstorm', 'endure', 'rollout', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'hidden-power', 'rain-dance', 'sunny-day', 'mirror-coat', 'ancient-power', 'shadow-ball', 'rock-smash', 'whirlpool', 'hail', 'facade', 'nature-power', 'ingrain', 'magic-coat', 'endeavor', 'refresh', 'secret-power', 'camouflage', 'rock-tomb', 'icicle-spear', 'iron-defense', 'calm-mind', 'rock-blast', 'water-pulse', 'brine', 'natural-gift', 'lucky-chant', 'sucker-punch', 'aqua-ring', 'rock-polish', 'power-gem', 'earth-power', 'stone-edge', 'captivate', 'stealth-rock', 'head-smash', 'round', 'scald', 'bulldoze', 'confide', 'throat-chop', 'stomping-tantrum', 'liquidation', 'life-dew', 'meteor-beam']","['water', 'rock']",pink
70,cottonee,56,3,cottonee,662,6,"['prankster', 'infiltrator', 'chlorophyll']","['absorb', 'mega-drain', 'leech-seed', 'growth', 'razor-leaf', 'solar-beam', 'poison-powder', 'stun-spore', 'toxic', 'double-team', 'swift', 'dream-eater', 'flash', 'rest', 'substitute', 'snore', 'cotton-spore', 'protect', 'giga-drain', 'endure', 'charm', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'encore', 'hidden-power', 'sunny-day', 'beat-up', 'memento', 'facade', 'nature-power', 'taunt', 'helping-hand', 'knock-off', 'endeavor', 'secret-power', 'fake-tears', 'grass-whistle', 'tickle', 'covet', 'natural-gift', 'tailwind', 'worry-seed', 'seed-bomb', 'energy-ball', 'switcheroo', 'defog', 'captivate', 'grass-knot', 'round', 'cotton-guard', 'grassy-terrain', 'misty-terrain', 'fairy-wind', 'confide', 'dazzling-gleam', 'grassy-glide']","['grass', 'fairy']",green
71,crabrawler,68,6,crabrawler,887,70,"['hyper-cutter', 'iron-fist', 'anger-point']","['ice-punch', 'thunder-punch', 'slam', 'body-slam', 'take-down', 'leer', 'bubble-beam', 'earthquake', 'dig', 'toxic', 'double-team', 'swift', 'amnesia', 'bubble', 'dizzy-punch', 'crabhammer', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'reversal', 'protect', 'mud-slap', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'pursuit', 'hidden-power', 'rain-dance', 'sunny-day', 'rock-smash', 'facade', 'focus-punch', 'helping-hand', 'superpower', 'brick-break', 'endeavor', 'rock-tomb', 'iron-defense', 'bulk-up', 'mud-shot', 'close-combat', 'payback', 'fling', 'drain-punch', 'focus-blast', 'zen-headbutt', 'gunk-shot', 'iron-head', 'stone-edge', 'wide-guard', 'round', 'scald', 'bulldoze', 'frost-breath', 'work-up', 'dual-chop', 'confide', 'power-up-punch', 'brutal-swing', 'stomping-tantrum', 'liquidation', 'tera-blast', 'chilling-water']",['fighting'],purple
72,cranidos,70,9,cranidos,537,315,"['mold-breaker', 'sheer-force']","['fire-punch', 'thunder-punch', 'swords-dance', 'whirlwind', 'slam', 'stomp', 'headbutt', 'take-down', 'thrash', 'double-edge', 'leer', 'roar', 'flamethrower', 'ice-beam', 'blizzard', 'strength', 'thunderbolt', 'thunder', 'earthquake', 'dig', 'toxic', 'screech', 'double-team', 'focus-energy', 'fire-blast', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'curse', 'spite', 'protect', 'scary-face', 'mud-slap', 'sandstorm', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'ancient-power', 'rock-smash', 'uproar', 'facade', 'superpower', 'endeavor', 'secret-power', 'rock-tomb', 'shock-wave', 'hammer-arm', 'natural-gift', 'payback', 'assurance', 'fling', 'rock-polish', 'dragon-pulse', 'earth-power', 'zen-headbutt', 'rock-climb', 'iron-head', 'stone-edge', 'captivate', 'stealth-rock', 'head-smash', 'smack-down', 'round', 'chip-away', 'incinerate', 'bulldoze', 'confide', 'power-up-punch']",['rock'],blue
73,cresselia,300,15,cresselia,602,856,['levitate'],"['body-slam', 'mist', 'ice-beam', 'psybeam', 'aurora-beam', 'hyper-beam', 'solar-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'confusion', 'psychic', 'double-team', 'confuse-ray', 'light-screen', 'reflect', 'swift', 'dream-eater', 'flash', 'rest', 'slash', 'substitute', 'snore', 'protect', 'scary-face', 'mud-slap', 'icy-wind', 'endure', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'moonlight', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'future-sight', 'facade', 'helping-hand', 'trick', 'magic-coat', 'recycle', 'skill-swap', 'secret-power', 'signal-beam', 'calm-mind', 'gravity', 'natural-gift', 'psycho-shift', 'power-swap', 'guard-swap', 'power-gem', 'energy-ball', 'giga-impact', 'psycho-cut', 'zen-headbutt', 'trick-room', 'captivate', 'grass-knot', 'charge-beam', 'lunar-dance', 'psyshock', 'telekinesis', 'magic-room', 'round', 'stored-power', 'ally-switch', 'moonblast', 'confide', 'dazzling-gleam', 'psychic-terrain', 'expanding-force', 'lunar-blessing', 'tera-blast']",['psychic'],yellow
74,croagunk,60,7,croagunk,579,230,"['anticipation', 'dry-skin', 'poison-touch']","['mega-punch', 'ice-punch', 'thunder-punch', 'mega-kick', 'headbutt', 'take-down', 'poison-sting', 'low-kick', 'counter', 'strength', 'earthquake', 'dig', 'toxic', 'meditate', 'screech', 'double-team', 'rest', 'rock-slide', 'super-fang', 'substitute', 'thief', 'snore', 'reversal', 'spite', 'protect', 'scary-face', 'feint-attack', 'sludge-bomb', 'mud-slap', 'icy-wind', 'endure', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'baton-pass', 'encore', 'pursuit', 'hidden-power', 'cross-chop', 'rain-dance', 'sunny-day', 'shadow-ball', 'rock-smash', 'fake-out', 'torment', 'flatter', 'facade', 'focus-punch', 'smelling-salts', 'taunt', 'helping-hand', 'role-play', 'revenge', 'brick-break', 'knock-off', 'snatch', 'secret-power', 'astonish', 'rock-tomb', 'aerial-ace', 'bulk-up', 'bounce', 'mud-shot', 'wake-up-slap', 'natural-gift', 'feint', 'acupressure', 'payback', 'assurance', 'embargo', 'fling', 'me-first', 'sucker-punch', 'poison-jab', 'dark-pulse', 'x-scissor', 'drain-punch', 'vacuum-wave', 'focus-blast', 'nasty-plot', 'bullet-punch', 'shadow-claw', 'mud-bomb', 'rock-climb', 'gunk-shot', 'captivate', 'venoshock', 'sludge-wave', 'low-sweep', 'acid-spray', 'foul-play', 'round', 'quick-guard', 'retaliate', 'bulldoze', 'work-up', 'dual-chop', 'belch', 'confide', 'venom-drench', 'power-up-punch', 'lash-out', 'coaching', 'tera-blast', 'chilling-water']","['poison', 'fighting']",blue
75,cubchoo,61,5,cubchoo,735,85,"['snow-cloak', 'slush-rush', 'rattled']","['mega-punch', 'ice-punch', 'cut', 'mega-kick', 'body-slam', 'take-down', 'thrash', 'growl', 'surf', 'ice-beam', 'blizzard', 'low-kick', 'strength', 'dig', 'toxic', 'double-team', 'bide', 'fury-swipes', 'rest', 'rock-slide', 'slash', 'substitute', 'thief', 'snore', 'flail', 'powder-snow', 'protect', 'mud-slap', 'icy-wind', 'endure', 'charm', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'encore', 'metal-claw', 'hidden-power', 'rain-dance', 'crunch', 'rock-smash', 'hail', 'facade', 'focus-punch', 'taunt', 'superpower', 'yawn', 'secret-power', 'rock-tomb', 'sheer-cold', 'aerial-ace', 'mud-shot', 'covet', 'water-pulse', 'brine', 'assurance', 'fling', 'night-slash', 'x-scissor', 'avalanche', 'shadow-claw', 'ice-fang', 'grass-knot', 'hone-claws', 'heavy-slam', 'round', 'echoed-voice', 'bulldoze', 'frost-breath', 'snarl', 'play-rough', 'play-nice', 'confide', 'power-up-punch', 'liquidation', 'body-press', 'tera-blast', 'snowscape', 'trailblaze', 'chilling-water']",['ice'],white
76,cubone,64,4,cubone,163,65,"['rock-head', 'lightning-rod', 'battle-armor']","['mega-punch', 'fire-punch', 'thunder-punch', 'swords-dance', 'double-kick', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'thrash', 'double-edge', 'tail-whip', 'leer', 'growl', 'flamethrower', 'water-gun', 'ice-beam', 'blizzard', 'bubble-beam', 'submission', 'low-kick', 'counter', 'seismic-toss', 'strength', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'screech', 'double-team', 'focus-energy', 'bide', 'bone-club', 'fire-blast', 'swift', 'skull-bash', 'bonemerang', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'curse', 'protect', 'belly-drum', 'mud-slap', 'perish-song', 'icy-wind', 'detect', 'bone-rush', 'sandstorm', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'iron-tail', 'hidden-power', 'sunny-day', 'ancient-power', 'rock-smash', 'uproar', 'facade', 'focus-punch', 'brick-break', 'knock-off', 'endeavor', 'secret-power', 'rock-tomb', 'aerial-ace', 'iron-defense', 'natural-gift', 'fling', 'earth-power', 'rock-climb', 'iron-head', 'captivate', 'stealth-rock', 'smack-down', 'round', 'echoed-voice', 'chip-away', 'incinerate', 'retaliate', 'bulldoze', 'confide', 'power-up-punch', 'brutal-swing', 'stomping-tantrum', 'scorching-sands']",['ground'],brown
77,cufant,66,12,cufant,1065,1000,"['sheer-force', 'heavy-metal']","['whirlwind', 'slam', 'stomp', 'mega-kick', 'tackle', 'body-slam', 'take-down', 'double-edge', 'growl', 'strength', 'earthquake', 'fissure', 'dig', 'screech', 'defense-curl', 'rest', 'rock-slide', 'substitute', 'snore', 'curse', 'protect', 'sandstorm', 'endure', 'rollout', 'swagger', 'attract', 'sleep-talk', 'rock-smash', 'facade', 'superpower', 'brick-break', 'rock-tomb', 'iron-defense', 'mud-shot', 'rock-blast', 'fling', 'earth-power', 'zen-headbutt', 'flash-cannon', 'power-whip', 'iron-head', 'stone-edge', 'stealth-rock', 'heavy-slam', 'round', 'bulldoze', 'work-up', 'belch', 'play-rough', 'high-horsepower', 'brutal-swing', 'stomping-tantrum', 'body-press', 'steel-beam', 'steel-roller', 'tera-blast']",['steel'],yellow
78,cursola,179,10,cursola,1048,4,"['weak-armor', 'perish-body']","['tackle', 'body-slam', 'pin-missile', 'disable', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'hyper-beam', 'earthquake', 'dig', 'psychic', 'night-shade', 'screech', 'harden', 'light-screen', 'reflect', 'self-destruct', 'amnesia', 'leech-life', 'rest', 'rock-slide', 'substitute', 'snore', 'curse', 'spite', 'protect', 'perish-song', 'icy-wind', 'sandstorm', 'giga-drain', 'endure', 'attract', 'sleep-talk', 'safeguard', 'rain-dance', 'sunny-day', 'mirror-coat', 'ancient-power', 'shadow-ball', 'whirlpool', 'hail', 'will-o-wisp', 'facade', 'revenge', 'grudge', 'astonish', 'rock-tomb', 'icicle-spear', 'iron-defense', 'calm-mind', 'rock-blast', 'brine', 'power-gem', 'earth-power', 'giga-impact', 'stone-edge', 'stealth-rock', 'round', 'scald', 'hex', 'bulldoze', 'strength-sap', 'throat-chop', 'stomping-tantrum', 'liquidation', 'meteor-beam', 'burning-jealousy', 'poltergeist']",['ghost'],white
79,cutiefly,61,1,cutiefly,893,2,"['honey-gather', 'shield-dust', 'sweet-veil']","['absorb', 'stun-spore', 'toxic', 'psychic', 'double-team', 'light-screen', 'reflect', 'swift', 'dream-eater', 'leech-life', 'rest', 'substitute', 'thief', 'snore', 'protect', 'endure', 'charm', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'baton-pass', 'sweet-scent', 'hidden-power', 'sunny-day', 'psych-up', 'facade', 'helping-hand', 'trick', 'skill-swap', 'imprison', 'aromatherapy', 'fake-tears', 'silver-wind', 'signal-beam', 'aerial-ace', 'covet', 'calm-mind', 'roost', 'tailwind', 'u-turn', 'last-resort', 'bug-buzz', 'energy-ball', 'switcheroo', 'defog', 'bug-bite', 'wonder-room', 'telekinesis', 'magic-room', 'quiver-dance', 'after-you', 'round', 'ally-switch', 'acrobatics', 'bestow', 'struggle-bug', 'sticky-web', 'draining-kiss', 'play-rough', 'fairy-wind', 'moonblast', 'confide', 'aromatic-mist', 'powder', 'dazzling-gleam', 'infestation', 'speed-swap', 'dual-wingbeat']","['bug', 'fairy']",yellow
80,cyndaquil,62,5,cyndaquil,252,79,"['blaze', 'flash-fire']","['cut', 'double-kick', 'headbutt', 'tackle', 'body-slam', 'take-down', 'thrash', 'double-edge', 'leer', 'ember', 'flamethrower', 'submission', 'fire-spin', 'dig', 'toxic', 'quick-attack', 'mimic', 'double-team', 'smokescreen', 'defense-curl', 'fire-blast', 'swift', 'fury-swipes', 'rest', 'substitute', 'flame-wheel', 'snore', 'curse', 'reversal', 'protect', 'mud-slap', 'foresight', 'detect', 'endure', 'rollout', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'iron-tail', 'hidden-power', 'sunny-day', 'heat-wave', 'will-o-wisp', 'facade', 'nature-power', 'eruption', 'secret-power', 'crush-claw', 'overheat', 'extrasensory', 'aerial-ace', 'howl', 'covet', 'natural-gift', 'flare-blitz', 'fire-fang', 'zen-headbutt', 'lava-plume', 'iron-head', 'captivate', 'flame-burst', 'flame-charge', 'round', 'incinerate', 'inferno', 'fire-pledge', 'work-up', 'wild-charge', 'play-rough', 'confide', 'burn-up', 'tera-blast']",['fire'],yellow
81,darkrai,270,15,darkrai,605,505,['bad-dreams'],"['swords-dance', 'cut', 'headbutt', 'disable', 'ice-beam', 'blizzard', 'hyper-beam', 'strength', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'psychic', 'hypnosis', 'quick-attack', 'night-shade', 'double-team', 'haze', 'swift', 'dream-eater', 'flash', 'rest', 'rock-slide', 'substitute', 'thief', 'nightmare', 'snore', 'spite', 'protect', 'feint-attack', 'sludge-bomb', 'mud-slap', 'icy-wind', 'endure', 'swagger', 'sleep-talk', 'return', 'frustration', 'pursuit', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'rock-smash', 'torment', 'will-o-wisp', 'facade', 'focus-punch', 'taunt', 'trick', 'brick-break', 'knock-off', 'snatch', 'secret-power', 'rock-tomb', 'aerial-ace', 'calm-mind', 'shock-wave', 'natural-gift', 'payback', 'embargo', 'fling', 'last-resort', 'sucker-punch', 'poison-jab', 'dark-pulse', 'x-scissor', 'drain-punch', 'focus-blast', 'giga-impact', 'nasty-plot', 'shadow-claw', 'rock-climb', 'charge-beam', 'dark-void', 'ominous-wind', 'wonder-room', 'foul-play', 'round', 'incinerate', 'retaliate', 'snarl', 'confide', 'power-up-punch', 'throat-chop']",['dark'],black
82,darumaka,63,6,darumaka,671,375,"['hustle', 'inner-focus']","['mega-punch', 'fire-punch', 'mega-kick', 'headbutt', 'tackle', 'take-down', 'thrash', 'bite', 'roar', 'ember', 'flamethrower', 'strength', 'solar-beam', 'fire-spin', 'dig', 'toxic', 'rage', 'double-team', 'focus-energy', 'fire-blast', 'rest', 'rock-slide', 'substitute', 'thief', 'flame-wheel', 'snore', 'protect', 'belly-drum', 'endure', 'rollout', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'encore', 'hidden-power', 'sunny-day', 'rock-smash', 'uproar', 'heat-wave', 'will-o-wisp', 'facade', 'focus-punch', 'taunt', 'superpower', 'brick-break', 'yawn', 'endeavor', 'snatch', 'secret-power', 'overheat', 'rock-tomb', 'extrasensory', 'hammer-arm', 'gyro-ball', 'u-turn', 'fling', 'flare-blitz', 'fire-fang', 'zen-headbutt', 'grass-knot', 'flame-charge', 'round', 'incinerate', 'work-up', 'confide', 'power-up-punch']",['fire'],red
83,dedenne,151,2,dedenne,836,22,"['cheek-pouch', 'pickup', 'plus']","['thunder-punch', 'cut', 'tackle', 'take-down', 'tail-whip', 'hyper-beam', 'thunder-shock', 'thunderbolt', 'thunder-wave', 'thunder', 'dig', 'toxic', 'agility', 'double-team', 'light-screen', 'swift', 'flash', 'rest', 'super-fang', 'substitute', 'thief', 'snore', 'protect', 'endure', 'charm', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'facade', 'charge', 'helping-hand', 'recycle', 'secret-power', 'signal-beam', 'aerial-ace', 'covet', 'shock-wave', 'natural-gift', 'u-turn', 'fling', 'last-resort', 'magnet-rise', 'seed-bomb', 'giga-impact', 'discharge', 'grass-knot', 'charge-beam', 'electro-ball', 'entrainment', 'round', 'ally-switch', 'retaliate', 'volt-switch', 'electroweb', 'wild-charge', 'parabolic-charge', 'draining-kiss', 'misty-terrain', 'play-rough', 'confide', 'eerie-impulse', 'electric-terrain', 'dazzling-gleam', 'nuzzle', 'tearful-look', 'rising-voltage', 'tera-blast', 'trailblaze']","['electric', 'fairy']",yellow
84,deerling,67,6,deerling,707,195,"['chlorophyll', 'sap-sipper', 'serene-grace']","['double-kick', 'jump-kick', 'sand-attack', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'growl', 'leech-seed', 'solar-beam', 'thunder-wave', 'dig', 'toxic', 'agility', 'double-team', 'light-screen', 'flash', 'rest', 'substitute', 'snore', 'protect', 'feint-attack', 'giga-drain', 'endure', 'charm', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'baton-pass', 'synthesis', 'hidden-power', 'rain-dance', 'sunny-day', 'shadow-ball', 'facade', 'nature-power', 'helping-hand', 'secret-power', 'camouflage', 'aromatherapy', 'fake-tears', 'odor-sleuth', 'grass-whistle', 'bullet-seed', 'bounce', 'magical-leaf', 'natural-gift', 'last-resort', 'worry-seed', 'seed-bomb', 'energy-ball', 'zen-headbutt', 'leaf-storm', 'grass-knot', 'round', 'echoed-voice', 'retaliate', 'bulldoze', 'work-up', 'wild-charge', 'grassy-terrain', 'play-rough', 'confide', 'tera-blast', 'trailblaze']","['normal', 'grass']",pink
85,delibird,116,9,delibird,325,160,"['vital-spirit', 'hustle', 'insomnia']","['mega-punch', 'ice-punch', 'fly', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'ice-beam', 'blizzard', 'aurora-beam', 'hyper-beam', 'drill-peck', 'counter', 'seismic-toss', 'toxic', 'agility', 'quick-attack', 'mimic', 'double-team', 'swift', 'sky-attack', 'splash', 'rest', 'substitute', 'thief', 'snore', 'curse', 'reversal', 'protect', 'mud-slap', 'spikes', 'destiny-bond', 'icy-wind', 'detect', 'endure', 'rollout', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'present', 'frustration', 'baton-pass', 'rapid-spin', 'hidden-power', 'rain-dance', 'future-sight', 'fake-out', 'hail', 'memento', 'facade', 'focus-punch', 'helping-hand', 'recycle', 'brick-break', 'secret-power', 'ice-ball', 'weather-ball', 'air-cutter', 'signal-beam', 'aerial-ace', 'icicle-spear', 'bounce', 'water-pulse', 'natural-gift', 'pluck', 'tailwind', 'assurance', 'fling', 'seed-bomb', 'air-slash', 'brave-bird', 'giga-impact', 'avalanche', 'ice-shard', 'defog', 'gunk-shot', 'captivate', 'foul-play', 'round', 'acrobatics', 'bestow', 'frost-breath', 'drill-run', 'freeze-dry', 'confide', 'power-up-punch', 'brutal-swing', 'aurora-veil', 'triple-axel', 'dual-wingbeat', 'tera-blast', 'ice-spinner', 'snowscape', 'trailblaze', 'chilling-water']","['ice', 'flying']",red
86,dewpider,54,3,dewpider,907,40,"['water-bubble', 'water-absorb']","['headbutt', 'bite', 'water-gun', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'aurora-beam', 'toxic', 'double-team', 'waterfall', 'leech-life', 'bubble', 'rest', 'substitute', 'spider-web', 'snore', 'protect', 'icy-wind', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'hidden-power', 'rain-dance', 'crunch', 'mirror-coat', 'stockpile', 'spit-up', 'facade', 'magic-coat', 'signal-beam', 'iron-defense', 'water-sport', 'water-pulse', 'aqua-ring', 'poison-jab', 'x-scissor', 'bug-buzz', 'bug-bite', 'power-split', 'wonder-room', 'magic-room', 'soak', 'entrainment', 'round', 'scald', 'frost-breath', 'sticky-web', 'confide', 'infestation', 'lunge', 'liquidation', 'skitter-smack']","['water', 'bug']",green
87,dhelmise,181,39,dhelmise,957,2100,['steelworker'],"['swords-dance', 'slam', 'wrap', 'hydro-pump', 'surf', 'hyper-beam', 'absorb', 'mega-drain', 'growth', 'solar-beam', 'earthquake', 'toxic', 'double-team', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'spite', 'protect', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'pain-split', 'rapid-spin', 'synthesis', 'hidden-power', 'rain-dance', 'sunny-day', 'shadow-ball', 'whirlpool', 'facade', 'helping-hand', 'role-play', 'brick-break', 'knock-off', 'astonish', 'metal-sound', 'muddy-water', 'aerial-ace', 'iron-defense', 'block', 'gyro-ball', 'brine', 'payback', 'assurance', 'embargo', 'energy-ball', 'switcheroo', 'giga-impact', 'shadow-claw', 'flash-cannon', 'power-whip', 'iron-head', 'grass-knot', 'telekinesis', 'sludge-wave', 'heavy-slam', 'round', 'ally-switch', 'hex', 'bulldoze', 'phantom-force', 'confide', 'solar-blade', 'anchor-shot', 'brutal-swing', 'liquidation', 'body-press', 'steel-roller', 'grassy-glide', 'poltergeist']","['ghost', 'grass']",green
88,dialga,340,54,dialga,596,6830,"['pressure', 'telepathy']","['cut', 'headbutt', 'body-slam', 'take-down', 'roar', 'flamethrower', 'ice-beam', 'blizzard', 'hyper-beam', 'strength', 'thunderbolt', 'thunder-wave', 'thunder', 'earthquake', 'toxic', 'double-team', 'fire-blast', 'swift', 'flash', 'rest', 'rock-slide', 'slash', 'substitute', 'snore', 'protect', 'scary-face', 'mud-slap', 'outrage', 'sandstorm', 'endure', 'swagger', 'fury-cutter', 'sleep-talk', 'return', 'frustration', 'safeguard', 'dragon-breath', 'iron-tail', 'metal-claw', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'psych-up', 'ancient-power', 'rock-smash', 'facade', 'trick', 'brick-break', 'secret-power', 'hyper-voice', 'overheat', 'rock-tomb', 'aerial-ace', 'iron-defense', 'dragon-claw', 'bulk-up', 'shock-wave', 'gravity', 'natural-gift', 'metal-burst', 'heal-block', 'magnet-rise', 'aura-sphere', 'dragon-pulse', 'power-gem', 'focus-blast', 'earth-power', 'giga-impact', 'shadow-claw', 'flash-cannon', 'trick-room', 'draco-meteor', 'iron-head', 'stone-edge', 'stealth-rock', 'roar-of-time', 'hone-claws', 'heavy-slam', 'round', 'echoed-voice', 'incinerate', 'bulldoze', 'dragon-tail', 'confide', 'stomping-tantrum', 'body-press', 'breaking-swipe', 'steel-beam', 'scale-shot', 'tera-blast']","['steel', 'dragon']",white
